city_id,city,population
1,Jacksonville,985843
2,Miami,455924
3,Tampa,403364
4,Orlando,320742
5,St. Petersburg,263553
6,Port St. Lucie,245021
7,Cape Coral,224455
8,Hialeah,221300
9,Tallahassee,202221
10,Fort Lauderdale,184255
11,Pembroke Pines,171119
12,Hollywood,153859
13,Gainesville,145812
14,Miramar,138319
15,Palm Bay,135566
16,Coral Springs,134906
17,Lehigh Acres,127391
18,West Palm Beach,124130
19,Lakeland,122264
20,Spring Hill,118814
21,Clearwater,116850
22,Brandon,116365
23,Pompano Beach,113619
24,Miami Gardens,110717
25,Davie,107799
26,Riverview,107776
27,Palm Coast,102113
28,Boca Raton,99974
29,Deltona,98739
30,Fort Myers,97372
31,Sunrise,96808
32,Plantation City,96548
33,Alafaya,90874
34,North Port,88934
35,Deerfield Beach,87325
36,Melbourne,86960
37,Town 'N' Country,86544
38,Daytona Beach,82485
39,Pine Hills,82264
40,Largo,82248
41,The Villages,82108
42,Homestead,81659
43,Kissimmee,81269
44,Boynton Beach,81267
45,Miami Beach,79607
46,Doral,79359
47,Kendall,78527
48,Lauderhill,73974
49,Tamarac,72372
50,Wesley Chapel,71965
52,Ocala,68426
53,Weston,68181
54,Delray Beach,67536
55,St. Cloud,66448
56,Port Orange,65966
57,Sanford,65394
58,Port Charlotte,64971
60,Wellington,61634
61,Palm Harbor,61454
62,Jupiter,61291
63,Palm Beach Gardens,61146
64,Four Corners,60443
65,Apopka,59113
66,North Miami,59008
67,Margate,58593
69,Coconut Creek,57694
70,Sarasota,57602
71,Winter Haven,57109
72,Bradenton,57076
74,Bonita Springs,56229
75,Pensacola,53724
76,Pinellas Park,53456
79,Tamiami,51201
81,Titusville,49680
82,Fort Pierce,49374
83,Ocoee,49261
85,Clermont,48621
86,Coral Gables,48353
87,Winter Garden,47294
88,Altamonte Springs,45257
89,North Lauderdale,44784
90,Ormond Beach,44277
91,North Fort Myers,44189
92,Oakland Park,44105
93,Greenacres,44103
94,Cutler Bay,43762
95,Lake Worth Beach,43346
96,Deland,43009
97,North Miami Beach,42789
99,Land O' Lakes,41845
100,Hallandale Beach,41547
101,Princeton,41476
102,Oviedo,41231
